
2022/08/23 (20:53:34) | INFO: Logger set to INFO
2022/08/23 (20:53:34) | INFO: Running on /dev/pts/1
2022/08/23 (20:53:36) | INFO: Quitting! Runtime: 00:00:02

2022/08/24 (12:09:39) | ===> btop++ v.1.2.8
2022/08/24 (12:09:39) | INFO: Logger set to INFO
2022/08/24 (12:09:39) | INFO: Running on /dev/pts/1
2022/08/24 (12:10:01) | INFO: Quitting! Runtime: 00:00:22

2022/08/24 (12:10:23) | ===> btop++ v.1.2.8
2022/08/24 (12:10:23) | INFO: Logger set to INFO
2022/08/24 (12:10:23) | INFO: Running on /dev/pts/1
2022/08/24 (12:10:30) | INFO: Quitting! Runtime: 00:00:07

2022/08/24 (12:29:43) | ===> btop++ v.1.2.8
2022/08/24 (12:29:43) | INFO: Logger set to INFO
2022/08/24 (12:29:43) | INFO: Running on /dev/pts/1
2022/08/24 (12:29:51) | INFO: Quitting! Runtime: 00:00:08

2022/08/24 (14:19:58) | ===> btop++ v.1.2.8
2022/08/24 (14:19:58) | INFO: Logger set to INFO
2022/08/24 (14:19:58) | INFO: Running on /dev/pts/1
2022/08/24 (14:20:03) | INFO: Quitting! Runtime: 00:00:05

2022/08/24 (14:31:42) | ===> btop++ v.1.2.8
2022/08/24 (14:31:42) | INFO: Logger set to INFO
2022/08/24 (14:31:42) | INFO: Running on /dev/pts/4
2022/08/24 (14:32:24) | INFO: Quitting! Runtime: 00:00:42

2022/08/24 (14:32:26) | ===> btop++ v.1.2.8
2022/08/24 (14:32:26) | INFO: Logger set to INFO
2022/08/24 (14:32:26) | INFO: Running on /dev/pts/3
2022/08/24 (14:32:27) | INFO: Quitting! Runtime: 00:00:01

2022/08/24 (16:56:25) | ===> btop++ v.1.2.8
2022/08/24 (16:56:25) | INFO: Logger set to INFO
2022/08/24 (16:56:25) | INFO: Running on /dev/pts/2
2022/08/24 (16:56:42) | INFO: Quitting! Runtime: 00:00:17

2022/08/24 (17:39:11) | ===> btop++ v.1.2.8
2022/08/24 (17:39:11) | INFO: Logger set to INFO
2022/08/24 (17:39:11) | INFO: Running on /dev/pts/2
2022/08/24 (17:39:15) | INFO: Quitting! Runtime: 00:00:04

2022/08/24 (23:29:17) | ===> btop++ v.1.2.8
2022/08/24 (23:29:17) | INFO: Logger set to INFO
2022/08/24 (23:29:17) | INFO: Running on /dev/pts/0

2022/08/24 (23:31:58) | ===> btop++ v.1.2.8
2022/08/24 (23:31:58) | INFO: Logger set to INFO
2022/08/24 (23:31:58) | INFO: Running on /dev/tty4
2022/08/24 (23:31:58) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2022/08/24 (23:32:50) | INFO: Quitting! Runtime: 00:00:52

2022/08/25 (18:21:20) | ===> btop++ v.1.2.8
